quests_title,quests_description,quests_objective
A Subtle Enemy,"Major Damarus wants you to deal with whoever has broken into the Hutt’s data center on Nar Shaddaa.
In order to gain access to the data center, you must collect time-sensitive codes from consoles around Network Access. Begin downloading the codes from the master console in the Network Infrastructure District of Network Access.",Download the Master Access Code
A Tough Sell,"SIS Agent Alys and her partner Kesler were gathering intel on the Labor Alliance’s dealings with the Empire when Kesler’s cover was blown. Whatever happened to Kesler, Agent Alys needs his report.
Agent Alys has asked you to look for Kesler at the Republic prisoner camp in Shadow Town and recover his report if you can.",Speak with Kesler
Access,"SIS Agent Zan Loren asked you to free the legendary Jedi Ako Domi and his fellow prisoners of war from Camp 27 in Shadow Town. Camp 27’s security access code is split up into parts and changed every few minutes. To free Ako Domi, recover the entire access code from the camp wardens and return it to Agent Loren before the code changes again.
Retrieve the access codes from the chief, security and subsystem wardens at Camp 27 in Shadow Town.",Retrieve the Primary Access Code
Beast Mastery,"You recovered Drooga the Hutt’s missing female shanjaru beast.
Returning to his pleasure barge, you discovered that Drooga has pitted Bowdaar against a ferocious gundark. You’ve decided to help the Wookiee out. Defeat the ferocious gundark with the help of Bowdaar.",Speak to Risha
Broken Imperials,Defeat the Imperial forces within Shadow Town Prison Control,Defeat Imperials
Captive,"SIS Agent Zan Loren asked you to free the legendary Jedi Ako Domi and his fellow prisoners of war from Camp 27 in Shadow Town.
After stealing several Imperial security codes, you’ve finally gained access to Camp 27. Find Ako Domi and the other prisoners inside the camp.",Return to Zan Loren
Charging the Charging Facility,"On your way to confront Captain Andrik at the droid charging facility in Shadow Town, take out any Republic defectors you encounter as you infiltrate the facility.",Defeat Republic Defectors
Cleaning up Shadow Town,A sizable group of Evocii seem to be receiving preferential treatment in Shadow Town after assisting the Imperial guards. Defeat any Imperial patrols you encounter in Shadow Town near Camp 27.,Dispatch Imperial Security and Sympathizers
Clear the Rak’Alor Warrens,The Rak’Alor Warrens in the Brell Sediment are filled with rakghouls made all the more dangerous from exposure to the radiation of the local nuclear reactor. Thin their numbers.,Kill Rak’Alor Rakghouls
Datacenter Raid,"After helping General Kolvin explore Revan’s secret facility in the Republic Industrial Sector, he informed you that he received a request for assistance from his colleague, Major Damarus, in Network Access.
Take a speeder to Network Access and speak with Major Damarus at the Imperial data center.",Speak with Major Damarus
Droid Wipe,"While infiltrating the Hutt Data Center in Network Access, take out any droids you find patrolling the building.",Eliminate Data Center Droids
Ending the Terror Cycle,"The communications hub in Shadow Town is overrun with White Wing terrorists. To help bring down their operation, eliminate any White Wing terrorists you find.",Dispatch the White Wing Terrorists
Exterminate The Vrblthers,Eliminate the Vrblthers that have infested the area,Eliminate the Vrblther infestation
Exterminate the Wardens,"As you proceed through Pharmalux Waste Processing, take out any Imperial wardens or captains you encounter.",Defeat Imperial Wardens and Captains
Extermination,"Ganuk, an Evocii foreman in the Labor District, discovered that the Empire has created chemicals that could kill every Evocii on Nar Shaddaa. He asked you to shut down the extermination factory.
Travel to the Pharmalux Waste Processing Facility in the Lower Industrial Sector and find a way to shut down the factory.",Infiltrate Pharmalux Waste Processing
Follow The Leaders,"While recovering the prototypes at the Czerka labs and the Republic technology lab for Lieutenant Demare, he asked you to take out the men in charge of the labs as well. Defeat the Czerka and Republic team leaders running the two labs in the Republic Research Division level of the Ternion Building.",Defeat Czerka and Republic Team Leaders
Gangland Violence,"Thanks to the increasing numbers of street skifters, the streets in and around Network Access have become unsafe. Thin out the number of street skifters in the Data Center District to improve security in the sector.",Defeat Street Skifters
Jailbreak,"Ako Domi is not the only Republic citizen the Empire has imprisoned. Open the cell blocks in the camp 27 lockdown so that the Republic POWs can escape, and defeat any guards that stand in your way.",Open Cell Blocks
Lab Work,"Through your investigations, you’ve discerned the location of Drooga the Hutt’s missing female shanjaru beast.
Before you can go after it, however, you have to deal with another one of Rogun the Butcher’s bounty hunters. Defeat Zank Helrott so you can resume the search for the female shanjaru beast.",Defeat Zank Helrott
Liquidation,"You came to Nar Shaddaa to neutralize the local terror cell, and with the help of the imprisoned Watcher X, you found and destroyed the terrorist front company VerveGen.
To ensure that the terror cell can’t rebuild, you need to destroy its communications hub. Take a speeder to the Network Access area, head to the terror cell’s communications hub and destroy the main computer there.",Use Your Ship’s Holoterminal
Mercenary Layoffs,"While recovering intel that the Karsoom mercenaries are working with the Empire, stop them from doing the Empire’s dirty work here on Nar Shaddaa. Defeat any Karsoom mercenaries you encounter at the Imperial mercenary camp in the Upper Office Atrium.",Eliminate Karsoom Mercenaries
Missing in Action,"Aric Jorgan has received a troubling dispatch from Command informing him that the members of his old sniper squad, the “Deadeyes,” have been captured during an operation on Nar Shaddaa. That the Deadeyes were on Nar Shaddaa at all has Jorgan concerned that something is amiss.
Jonas Balkar, the SIS agent you worked with on Nar Shaddaa, might be able to shed some light on the situation. Travel to Nar Shaddaa to meet up with Jonas Balkar.",Travel to Nar Shaddaa
Overloaded,"On Nar Shaddaa, you’ve been assigned to work with an SIS operative named Jonas Balkar to stop a renegade Republic battle droid called M1-4X. With Jonas’s help, you’ve learned that M1-4X is a pawn of a former Republic officer named Captain Andrik, who followed your former squad-mates from Havoc Squad in defecting to the Empire.
Captain Andrik now has plans to supercharge M1-4X’s power core, rendering the droid all but invincible unless you intervene. Hurry to Captain Andrik’s charging facility in the Shadow Town district and confront him before it’s too late.",Infiltrate the Droid Charging Facility
Passing Inspection,"While destroying the shipments at the Imperial Intelligence gadget warehouse for Mas Avaho, take out any Imperial personnel guarding the equipment.",Defeat Imperial Warehouse Personnel
Professional Courtesy,"The elusive Eidolon on Nar Shaddaa is your target in the Great Hunt. Your plan was to damage his legitimate businesses in order to draw him out, and it worked.
You found the Eidolon at his safe house in Network Access; confront him.",Use Your Ship’s Holoterminal
Professional Killer,"On your way to take out the Eidolon at the Eidolon’s safe house in Network Access, dispatch the forces guarding the safe house.",Eliminate Eidolon Safe House Forces
Putting an End to Torture,"While destroying the torture machines at the Imperial torture center for Uli Zhensi, take out the Imperials working there. Defeat any Imperial officers, torturers and interrogators you encounter at the Imperial Re-education Center in the Ternion Building.",Eliminate Imperial Interrogation Personnel
Quality Assurance,"Doctor Proh’ven has implanted several gangsters with his new implants and wants recordings of these new implants in action.
Activate the medical probe Doctor Proh’ven gave you, then defeat any street skifter cutthroats and street skifter gunslingers you find in the Datacenter District of Network Access.",Record Fights with Street Skifter Gunslingers
Removing Revaak’s Assets,"While taking out Revaak at Steelfast Data Haven in the lower office atrium of the Ternion Building, eliminate his mercenaries and thugs as well.",Defeat Revaak’s Mercenaries and Thugs
Research,"Through your investigations, you’ve discerned the location of Drooga the Hutt’s missing female shanjaru beast.
Before you can go after it, however, you have to deal with another one of Rogun the Butcher’s bounty hunters. Defeat Zank Helrott so you can resume the search for the female shanjaru beast.",Defeat Zank Helrott
Shadow Town,"Tharan Cedrax has discovered that Duras Fain, a Jedi Master who’s formed a sinister cult, is hiding out in Shadow Town, an Imperial prison that Tharan helped to design. Getting into Shadow Town won’t be easy, and you’ll need Tharan’s help if you have any hope of getting in alive.
Tharan has asked that you meet him at his offices on the Promenade to discuss the mission.",Use your Ship’s Holoterminal
Showdown with Lord Sadic,"You are on Nar Shaddaa to lock down the Power Guard project and find Agent Galen. You’ve found Agent Galen in the Imperial weapons factory, but he’s been transformed into a Mark III Power Guard.
Lord Sadic forced Agent Galen to attack you, but you defeated him. Speak to Agent Galen in the weapons factory in the Lower Industrial Sector to see if he has any last words.",Confront Lord Sadic
Sliced and Diced,A mysterious slicer has reprogrammed the security droids patroling Network Access. Destroy any of the Hutt security droids in the streets of Network Access.,Terminate the Hutt Security Droids
Street Sweeper,An assault on Camp 27 will be far too difficult without thinning out some of the guards posted there. Defeat any Camp 27 guards you encounter in the warden camps of Shadow Town.,Eliminate Camp 27 Guards
Survival of a Species,"You agreed to bring a rare genetic sample of the shanjaru beast to Daru’da, a genetic researcher on Coruscant, in an effort to save the species from extinction.
Travel to Coruscant and deliver the sample to Daru’da at her lab in the Senate tower.",Speak to Daru’da
Technological Difficulties,"While recovering the prototypes at the Czerka labs and the Republic technology lab for Lieutenant Demare, you have the opportunity to strike a further blow. Eliminate any Czerka chemists and engineers at the Czerka labs in the Republic Technology Division of the Ternion Building, and ensure the Republic mechanical engineers, biochemists and supervisors at the Republic technology lab are taken care of as well.",Destroy the Czerka and Republic Labs
The Final Act,"The artifact of Tulak Hord on Nar Shaddaa is in the hands of the Sith cult leader, Lord Paladius. He has contacted you and offered to give you the artifact you seek, if only you’ll leave him in control of his cult.
He has arranged for you, Destris Veran and Rylee Dray to meet him in his sanctuary in Network Access. Go there, but be prepared for anything.",Use Your Ship’s Holoterminal
The Science of Killing,"While destroying Republic equipment and stealing the spice addiction cure for Agent Kayd, take out any of the Republic scientists you encounter inside MediCure Pharmaceuticals in the Republic Research Division of the Ternion Building.",Eliminate the Republic Scientists
To Kill a Sith Lord,"Your target, Agent Dellocon, is under the protection of Darth Baras’s rival, Lord Rathari. To gain access to Dellocon, you have thwarted all of Rathari’s power-grab attempts.
In retaliation, Rathari has killed your contact, Halidrell Setsyn, and challenged you to a duel at his satellite platform in Network Access.",Meet with Lord Rathari
Weapons Malfunction,"You are on Nar Shaddaa to lock down the Power Guard project and find Agent Galen. You’ve found Agent Galen in the Imperial weapons factory, Send the Imperials a message by defeating their Factory Workers",Defeat Imperial Factory Workers
Wiping the Slate,"Using the security codes you obtained along with the Hutts’ security override, you managed to make your way into the Hutt data center.
After searching the Hutt Datacenter in Network Access, you encountered the saboteur, Axis. Confront Axis and see what he has to say.",Search for the Saboteur
[HEROIC 4] Breaking Down Shadow Town,"Republic SIS has discovered that the Empire is upgrading the cranial bombs inserted into Shadow Town prisoners that prevent them from escaping. If the schematics for this technology can be captured, scientists can find a way to disable the technology.
Raid the Shadow Town prison control center and steal the schematics.",Retrieve Cranial Bomb Schematics
[HEROIC 4] Hunger of the Vrblthers,"Warning transmissions from Network Access indicate hordes of deadly vrblthers have infested the power station there. These dangerous beasts are killing everyone in the area and destroying the energy conduits that keep Nar Shaddaa’s computer systems operational.
Go to the Network Access power station, and restore the damaged critical power junctions. While you’re at it, clear the station of vrblthers.",Defeat Vrblther Elders
A Dangerous Auction,"Huntmaster Assistant Lek has requested your presence on Dromund Kaas for a private meeting.
Travel to Dromund Kaas and meet with Huntmaster Assistant Lek.",Return to Dromund Kaas
A Message for the Mercenaries,"The Empire is losing mercenaries every day to better offers from the Republic. Eliss Pim wants to send a message that dealing with the Republic is suicide.
The ringleaders of the Nova Guard and Crimson Brotherhood mercenary groups are meeting at the Upper Office Atrium. Defeat them and destroy their supply caches.",Destroy Nova Guard Supply Caches
A Threat Leveled,"Darth Baras has informed you that your ship is being tracked. He suspects his nemesis, Jedi Master Nomen Karr, is behind it.
Baras has traced the signal back to its source: an orbital station in Hutt Space. Use your ship’s galaxy map to board the station, discover who is tracking you and put an end to it.",Use Your Ship’s Holoterminal
Andronikos Revel,"You are on the trail of the lost artifacts of Tulak Hord, which are believed to be key to a secret ritual that will grant you great power. Darth Zash has traced one of the artifacts to Tatooine.
Use your ship’s galaxy map to travel to the planet Tatooine.",Speak to Andronikos Revel
Art of Interrogation,"Uli Zhensi, a former Imperial worker, asked for your help ending the Empire’s Project Threshold. Uli and his fellow workers maintained experimental interrogation machinery for the project until they were caught trying to sabotage the operation. Uli got away, but the other workers got caught.
Destroy the terminals controlling the interrogation equipment, and defeat the Imperial archon in charge at the Imperial Re-education Center.",Destroy the Interrogation Machine Terminals
Backdoor,"Kilo Detton has asked you to use a data spike to plant a virus in the top secret Republic military databanks at the enemy’s broadcast tower.
Take the data spike to the Republic Holonet Computer at the Republic broadcast tower in the Network Security District to upload the virus.",Plant Virus on the Republic HoloNet Computer
Breaking the Cure,"Agent Kayd has intel that the Republic’s discovered a cure for spice addiction. She wants you to steal it and destroy their lab equipment, so the Empire can use the cure on its addicted soldiers.
Go to MediCure Labs in the Republic Research Division, destroy the laboratory computers, and recover the spice addiction cure from the main laboratory terminal.",Destroy Laboratory Computers
Breaking their Spirit,"While destroying the laboratory computers at MediCure Labs in the Republic Research Division of the Ternion Building, take out the Republic biologists, engineers and monitors around the area.",Destroy MediCure Labs
Chest Pains,"To further damage the Empire’s implantation capabilities, take out the Explosives Lab Technicians, Explosives Lab Security Guards and Explosives Lab Implant Droids. You can find them at the Explosives Lab in the Network Security District on Nar Shaddaa.",Defeat Explosives Lab Forces
Clearing the Showroom Floor,Defeat the holowan forces in the showroom,Defeat Holowan forces in the area
Cold Dead Hands,Defeat the Mercenaries,Defeat Mercenaries
Count Zero Interrupt,Terminate Zero’s heavy war droids in his lair on Nar Shaddaa.,Destroy Zero’s Heavy War Droids
Danger in the Streets,The Empire drove the Exchange crime syndicate out of Mos Ila–but the gangsters haven’t accepted defeat. You slew one of their leaders and retrieved plans for a full-scale attack on the city; deliver them to a mission dropbox to alert Imperial authorities.,Updating…
Deal with the Exchange,"While on your way to speak with Izzeebowe Jeef at his hut, eliminate any Exchange forces that cause trouble.",Defeat Exchange Forces
Desert Exiles,A group of exiled Sand People have set up camp in the Czerka mining complex. Defend yourself against the aggressive Sand People.,Defeat Sand People
Distress Call,"Master Syo Bakarn informed you of a distress call received from the Republic ship Carida. There is a Jedi passenger named Laranna Fain aboard the ship. From the distress call, it sounds as if Laranna is suffering from the same plague as Master Yuon Par and the other Masters.
Master Syo has asked you to reroute to the Carida in the Distant Outer Rim and do whatever you can to help.",Use the Door Access Panel
Distressed,"You received a distress signal while waiting for Risha to sort out the ancient astrogation charts leading to Nok Drayen’s treasure.
Use your ship’s holoterminal to get the details of the emergency call.",Use Your Ship’s Holoterminal
Diversion,"SIS Agent Jaysa Wise has already lost one partner working undercover in Shadow Town and is sure the Empire’s targeting her next. She needs to escape, but there’s no way she’ll make it out without a massive distraction.
She has asked you to start a prison riot to cover her escape by releasing several insane Sith. Release Sith prisoners from the violent prisoner cell block in the High Security Lockdown.",Release the Prisoners
Dry Run,"According to Risha, you have business waiting on Tatooine that will bring you one step closer to finding Nok Drayen’s lost fortune.
Travel to the planet Tatooine by plotting a course on your ship’s galaxy map. Once you’ve landed there, speak to Risha for more information.",Speak to Tookreek
Elective Surgery,"Freelance assassin Sarn Ko offered you a tip on shutting down the Empire’s Shadow Town prison complex for good. Every prisoner there is fitted with a cranial bomb that will explode if they try to escape.
Destroying the lab that produces these bombs will prevent the Empire from taking in any more prisoners. Demolish the equipment at the explosives lab and implantation center in the Network Security District.",Destroy Explosive Chemical Vats
Exterminate the Exchange,Your assault on the Exchange caravan proceeds well. Take out as many of the Exchange guards in Jundland as possible to weaken the enemy further.,Defeat Exchange Guards
Fighting Words,The Hutts have set up droids as security in their data haven. Destroy any droids that get in the speechmaker’s path in the Hutt Data Haven in the Network Security District.,Destroy Hutt Security Droids
Final Stage – Danger in the Streets,The Empire drove the Exchange crime syndicate out of Mos Ila–but the gangsters haven’t accepted defeat. Access the communication station to draw out the local Exchange leader and obtain his plans.,Updating…
For Future Generations,"The lair of the Sand Demon seems infested with the offspring of the dreaded monster. The Shock Drum has driven them to a crazed state, and the only way through is to put them down. Kill the Sand Demon offspring in the Sand Demon’s lair on Tatooine.",Kill the Sand Demon’s Offspring
Getting the Message Across,"While taking out the Nova Guard and Crimson Brotherhood ringleaders and their supplies for Eliss Pim, deal with any of the Nova Guard and Crimson Brotherhood mercenaries hanging around the upper atrium area on the Mercenary Training Facility level of the Ternion Building.",Defeat the Nova Guard and Crimson Brotherhood
Hacked Resistance,"As part of her mad rampage, the Jedi Laranna Fain has reprogrammed the Carida’s droids to attack all sentient life. Destroy the reprogrammed droids to ensure the crew’s safety.",Destroy Reprogrammed Droids
Holowan Massacre,"Demolish other Holowan battle droids and their security guards in Holowan Industries, to further decrease the Republic’s opinion of Holowan’s droid designs.",Destroy Holowan Forces
Inspection,"SIS Agent Mas Avaho informed you that a shipment of Imperial Intelligence machines was recently delivered for a Sith Lord. Agent Avaho isn’t sure what the machines are, but they were important enough for the Sith Lord to send his apprentices to oversee the shipment.
Destroy the Intelligence machines at the Imperial Intelligence Gadget Warehouse in the Ternion Building, and take out the Sith Apprentices to keep the Sith Lord from getting any of them.",Defeat Sith Apprentices
Lab Work,Defeat the lab staff in the High Security Section.,Defeat Lab Staff
Local Resources,"Your hunt for the Havoc traitors has led you to the remote desert world of Tatooine.
Travel to Tatooine and contact General Garza using your ship’s holo to begin your operation.",Travel to Tatooine
Memory Flush,"An astromech droid named TC-93 has gone rogue and fled to Network Security District with top secret SIS intel. TC-93’s creator, Carina, wants the droid’s memory wiped and a copy of the data returned to her.
Carina has given you a scanner to use on the renegade security droids in the Network Security District. Scanning their databanks will give you TC-93’s exact location.",Return to Carina
Migraine,"To further damage the Empire’s implantation capabilities, take out the specialists who have been trained in the process and their droids. You can find them at the Imperial Implantation Lab in the Network Security District.",Eliminate Implantation Personnel
Nar Shaddaa: Bonus Series,"Colonel Harok and Lord Zavrasha have tasked you with destroying the Republic’s technological advances gained on Nar Shaddaa. If left unchecked, the enemy will become too powerful and overwhelm the Empire. Lord Zavrasha demands you do not jeopardize the treaty. Strike swiftly and anonymously.
Meet with Captain Westro at the Upper Industrial Sector taxi pad on Nar Shaddaa.",Speak to Captain Westro
Nar Shaddaa: Bonus Series,"The Empire is training a vicious mercenary army to drive the Republic off Nar Shaddaa. Republic special liasion Deera Ulyette and Bareesh the Hutt need you to shut down the Empire’s operations on Nar Shaddaa and stop the mercenary army’s impending attack.
Find IK-4C at the Worker’s Quarters in the Imperial Intelligence Gadget Warehouse to coordinate with a Republic SIS agent.",Speak to IK-4C
No Quarter Given,Geonosian pirates are occupying the region where the ultrasonic scanners must be placed. Defeat the Geonosian forces to prevent them from dismantling the scanners for scrap or causing harm to the locals.,Dispatch Geonosian Forces
One Piece At A Time,"Ciqala, the leader of an organized worker rebellion against the Empire, asked you to recover useful technology from the mercenary training camps. These items will give the rebellion an advantage over the enemy.
Retrieve components from storage crates, training dummies and gun racks at the Mercenary Training Facility, in the Upper Office Atrium on Nar Shaddaa.",Gather Medical Supplies
OPTIONAL: Stay Frosty,"Commander Tavus’s ship will likely be guarded with state-of-the-art security measures.
Don’t let your guard down.",Stay Alert
Preparations,"While you’ve been searching for the artifacts of Tulak Hord, your ancestor, Aloysius Kallig, believes that Darth Zash will betray you, and that you must prepare yourself for the battle to come. Lord Khreusis, whose stronghold stands high above the Valley of the Dark Lords, now wears the mask of Kallig, and you must retrieve it.
Travel in your ship to the planet of Korriban.",Speak to Lord Khreusis
Prototype,"Czerka Labs has developed prototype technology for tracking Imperial starships.
Lieutenant DeMare has asked you to destroy the Republic and Czerka equipment and sensor boosters at Czerka Labs in the Republic Research Division, in addition to any personnel who get in your way.",Destroy Prototype Sensor Boosters
Purge the Test Subjects,The Republic is secretly breeding Shaclaws to be weaponized and used against the Empire. Destroy their research by killing all of the Shaclaw test subjects in the hidden lab in the High Security Lockdown. You can do this by gassing them in their containment cells.,Kill Juvenile Shaclaw Test Subjects
Raiders of the Shock Drum,Drive back the Sand People from the Shock Drum facility.,Eliminate Sand People Dunescouts
Reclaim the Archive,Rakghouls have overrun the newly discovered Tarisian archive. Remove these monsters in and around the Tarisian archive in order to allow the Republic researchers and archaeologists access to the area.,Defeat Tunnel Rakghouls
Renegades,The renegade droids of the High Security Lockdown in the Network Security District have become aggressive and pose a threat to all humanoids. Get rid of them before they do more harm.,Destroy Renegade Droids
Riot!,"To help inflame the diversion, take out some of the riot guard personnel at the violent prisoner cell block in the Systech Quarter.",Defeat Prison Riot Personnel
Search and Destroy,The Imperial interrogation droids have caused unspeakable tortures on Republic prisoners. Destroy them and their handlers so that they can do no more harm. Find the prison yard personnel at the Prison Prep Center in High Security Lockdown.,Defeat Prison Yard Personnel
Secret Assets,"Cathan Dru wants you to bring him classified Republic documents from the vault computer in the Steelfast Data Haven.
Before you can access the computer, you’ll need to get past Revaak and his mercenaries. Defeat Revaak at the Steelfast Data Haven office in the Lower Office Atrium.",Defeat Revaak
Severance Pay,"Chiiv, an alien informant working with Imperial Intelligence, has revealed the existence of traitorous Imperial gaurds at the prison accepting bribes from the Republic. These traitors must be eliminated.
Use Chiiv’s scanner on prison yard sentries to identify the traitors in High Security Lockdown on Nar Shaddaa and then eliminate them.",Find and Defeat the Traitors
Shadow of the Dark Lord,"Your mission to eliminate the Eagle’s terrorist network was proceeding well, but now the work is on hold. Darth Zhorrid–daughter of and successor to Darth Jadus, a Dark Council member slain in a terrorist attack–is demanding your assistance.
Vyord Yanol–one of Darth Jadus’s advisors and the last person to see him alive–has fled to Nar Shaddaa, and Darth Zhorrid wants you to find Yanol so she can learn her father’s secrets. Travel to Nar Shaddaa, go to the Upper Industrial Sector and find Vyord Yanol’s hideout.",Speak to Darth Zhorrid
Shadow on the Sand,"Qyzen is still feeling shame over losing his score on Tython. He has decided to make amends to the Scorekeeper by making a pilgrimage to Tatooine and paying homage to the bones of his honored father.
As the Herald of the Scorekeeper, he has asked you to accompany him. Use the galaxy map on your ship to travel to Tatooine.",Travel to Tatooine
Spreading the Word,"Minos Porter wants you to escort his speechmaking crew through the Hutt Data Haven and protect them while they broadcast an Imperial message of intimidation.
Rendezvous with the speechmaker in the Hutt Data Haven in the Network Security District.",Meet with the Speechmaker
Stage 1 – Danger in the Streets,The Empire drove the Exchange crime syndicate out of Mos Ila–but the gangsters haven’t accepted defeat. Find communications codes on the bodies of Exchange infiltrators and see if you can determine their plan.,Collect Communication Codes
Stage 2 – Danger in the Streets,The Empire drove the Exchange crime syndicate out of Mos Ila–but the gangsters haven’t accepted defeat. You found Exchange communications codes; now use the communicator pads around the city to see if you can determine their plan.,Updating…
The Defector,"One of Darth Angral’s closest confidants, Admiral Hacklin, wants to defect to the Republic. However, he will only agree to meet with someone he trusts: Kira Carsen. General Var Suthra has arranged for you and Kira to meet Hacklin at an abandoned asteroid mining facility.
You must travel with Kira to the abandoned mining facility in the Outer Rim to meet with Hacklin.",Use Your Ship’s Holoterminal
The Shadow Fist,"Your hunt for the Havoc traitors has taken a surprising turn–Harron Tavus, the former commander of Havoc Squad, was spotted stealing a prototype cloaking device from the Republic. Luckily, the cloaking device was equipped with a tracking beacon.
General Garza has ordered you to follow the beacon and confront Tavus once and for all. Track the beacon to Tavus’s ship and board the vessel.",Use Your Ship’s Holoterminal
The Spy Dance,"You have been instructed to travel to Tatooine as part of your mission to eliminate the Eagle’s galaxy-spanning terrorist network. The Eagle is already responsible for thousands of civilian deaths and the assassination of Darth Jadus; his forces must be stopped before they do further damage to the Empire.
Use your ship’s galaxy map to travel to the planet Tatooine.",Travel to Tatooine
The Tatooine Target,"You’ve received notice of a bounty on Tatooine. When you arrive you should check the intel Crysta Markon sent you about your Great Hunt target on this planet.
Use your ship’s galaxy map to travel to the planet Tatooine.",Travel to Tatooine
Tower Defense,Take out the defenders guarding the Republic broadcast tower in the Network Security District on Nar Shaddaa.,Defeat Broadcast Tower Defenders
Tracking the Smuggler,"Your target on Tatooine is Tyresius Lokai. Crysta Markon suggested starting the search for Tyresius in the spaceport.
Check with the traffic control droid in the center of the Mos Ila Spaceport on the top floor.",Speak to Traffic Control Droid BZ-9D
Vesco’s Virus,"Abasi Vesco alerted you to a droid virus that is causing droids to go berserk and attack organics. If the droid virus spreads beyond this sector, it could infect every intelligent machine on Nar Shaddaa. Abasi might be able to stop the virus from spreading, but he needs your help.
Collect data cores from the infected droids in the Network Security District.",Collect Data Cores
Worker Justice,"Neiya Chault told you about a Jedi Padawan she met recently named Thoma. He left on a special mission to investigate alien mercenaries trained by the Empire and never returned. Neiya fears the worst.
Head to the Mercenary Training Facility Barracks in the Upper Office Atrium and search for Thoma.",Look for Thoma
Worker Justice: Credits,"Neiya Chault told you about a Jedi Padawan she met recently named Thoma. He left on a special mission to investigate alien mercenaries trained by the Empire and never returned. Neiya fears the worst.
Head to the Mercenary Training Facility Barracks in the Upper Office Atrium and search for Thoma.",Look for Thoma
Zero Protocol,"Commander Stron wants you to eliminate a rogue slicer called “Zero.”
To find Zero, you must begin by triangulating his location. Plant tracer spikes on the data access terminals in the Network Security District through which Zero is sending his signals.",Spike the First Computer Terminal
Zero Sum,The droids in the Free Droid Enclave are a menace to all organics in the Systech Quarter. Destroy any renegade droids you encounter in the Free Droid Enclave.,Terminate Free Enclave Droids
[HEROIC 2+] Botched Interrogation,"Republic prisoners, led by Sav Darnell, have broken free and taken control of their prison. They must be eliminated.
Defeat the freed Republic prisoners and Sav Darnell in the Imperial interrogation chamber on Nar Shaddaa.",Speak to Gorn Sweevas
[HEROIC 2+] Glitch,"Holowan Industries is demonstrating new battle droids to their Republic clients. Agent Ryleah of Imperial Intelligence has asked you to sabotage this demonstration and steal the battle droids’ schematics.
Download the droids’ schematics from the Holowan Design terminals in the Network Security District.",Download Battle Droid Weapon Schematics
[HEROIC 2+] Recruitment,"Lord Sharoleigh has learned that the Jedi are training Force-sensitive aliens in the ways of the Force. She is worried that this will swell the ranks of the Jedi and tip the balance of power on Nar Shaddaa.
Go to the Jedi Training Facility in the Lower Office Atrium and wipe out any Force-sensitive aliens you can find.",Defeat Jedi Trainers
[HEROIC 2+] The Morgukai,"Tythan Phomm informed you about a dangerous cult that has taken root on Nar Shaddaa. The cult is the Morgukai: a group of Force-resistant Nikto warriors who are training recruits to attack Republic targets.
Tythan asked you to confront them at their temple and drive them off Nar Shaddaa by force, if necessary. Enter the Morgukai temple in High Security Lockdown and confront the cult members and their chieftain.",Defeat the Morgukai Chieftain
[HEROIC 4] Building a Better Beast,"A local named Glort has given you a tip-off that the Republic is conducting experiments on monstrous creatures, effectively turning them into weapons.
The experiments are being conducted at a hidden base beneath the High Security Lockdown. Go there and put a stop to the Republic’s operations by destroying the weaponized beasts and the scientists breeding them.",Defeat Shaclaw Breeders
[HEROIC 4] Hired Guns,"Sergeant Harrum believes the Empire has been hiring mercenaries to fight their illegal battles here on Nar Shaddaa.
He’s asked you to search the Imperial mercenary camp, in the Upper Office Atrium, for orders that prove this. Eliminate as many mercenary veterans as you can until you find proof that the Empire has hired them for illegal raids.",Recover Imperial Orders to Expose Mercenaries
[HEROIC 4] Lab Animals,"Doctor Rassan alerted you to an enemy attack on his lab, which was researching deadly biological weapons. The enemy’s forces are infected with a horrific virus. If they escape the lab, they’ll transmit the virus everyone on Nar Shaddaa.
Enter the ChemFlex Labs in the Republic Research Division, and defeat the infected lab animals and infected Xenobi forces inside.",Kill Infected Lab Animals
[HEROIC 4] Shadow Extraction,"Jax Dumont is a member of the “Stardogs,” a group of Republic veterans doing what they can to fight the Empire. One of Jax’s men, code-named “Phalanx,” has been captured by the Empire. Phalanx has important intel on the Hutt Cartel’s dealings with the Empire. He must be rescued before a cortex charge is implanted in his head.
Jax has asked you to hack into the prisoner prep center, locate Phalanx’s cell and get him safely out.",Access the Prison Databank
Astromenace,"A thief is on the loose in Anchorhead. Constable Bakishan told you that the worst loss hit recently when the state-of-the-art police surveillance holocams went missing. There’s only one lead to go on: just before every theft, two astromech droids were seen in the area. The true thieves must be controlling them remotely.
Destroy worn-out astromech droids around Anchorhead until you recover a remote control device from their wreckage.",Recover the Remote Device
Bleed the Sand,"As you fight the Sand Demon, slay the Sand Imps under its command.",Slay Sand Imps
Blood on the Sand,"The Sand People are proving a major impediment to Imperial operations, but you’ve slain their hero and seized his prized hunting trophy. Now deliver it to the dropbox in Jundland.",Turn in Kortawa’s Prized Hunting Trophy
Break the Sand People,"While carrying out the ritual to prove your strength in the Sand People camp on the Northern Jundland Plateau, defend yourself against any and all Sand People to ensure they learn to respect the locals.",Dispatch Sand People Forces
Bug Hunt,Defeat the Geonosian forces at the Geonosian Compound in Jundland.,Defeat Geonosian Forces
